"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0S910","2020-05-05 00:00:00","212.000","233.000","0.700","25.000","0.990","989.400","","0.000","-99.000","-99.000","-99.000","28.600","","24.400",""
"CM0180","2020-05-05 00:00:00","313.000","0.000","0.000","23.000","0.860","976.700","","0.000","-99.000","-99.000","-99.000","35.700","","21.700",""
"CM0170","2020-05-05 00:00:00","106.000","125.000","0.600","25.100","0.950","1000.100","","0.000","-99.000","-99.000","-99.000","31.100","","22.900",""
"C0B020","2020-05-05 00:00:00","86.000","110.000","1.100","23.800","0.970","999.500","","-99.000","-99.000","-99.000","-99.000","29.900","","23.300",""
"C0S900","2020-05-05 00:00:00","27.000","98.000","1.700","25.800","0.910","1009.400","","0.000","-99.000","-99.000","-99.000","30.300","","26.500",""
"C0G760","2020-05-05 00:00:00","53.000","203.000","0.600","26.300","0.990","1007.500","","0.000","-99.000","-99.000","-99.000","33.200","","24.500",""
"C0C710","2020-05-05 00:00:00","143.000","280.000","0.500","25.200","0.990","994.700","","0.000","-99.000","-99.000","-99.000","32.700","","22.500",""
"CM0160","2020-05-05 00:00:00","159.000","0.000","0.200","25.300","0.820","994.600","","0.000","-99.000","-99.000","-99.000","38.300","","23.200",""
"C0AI20","2020-05-05 00:00:00","25.000","220.000","1.500","25.200","0.890","1007.900","","0.000","-99.000","-99.000","-99.000","27.700","","24.200",""
"C0C630","2020-05-05 00:00:00","209.000","237.000","1.500","25.200","0.870","987.300","","0.000","-99.000","-99.000","-99.000","32.400","","23.400",""
"C0D550","2020-05-05 00:00:00","1956.000","0.000","0.000","14.100","0.890","812.000","","0.000","-99.000","-99.000","-99.000","22.900","","14.000",""
"C0V810","2020-05-05 00:00:00","32.000","225.000","0.900","26.600","0.850","1006.400","","0.000","-99.000","-99.000","-99.000","29.700","","25.700",""
"C0E730","2020-05-05 00:00:00","26.000","201.000","0.900","26.400","0.810","1006.400","","0.000","-99.000","-99.000","-99.000","31.200","","24.300",""
"C0V770","2020-05-05 00:00:00","26.000","0.000","0.200","26.700","0.800","1007.900","","0.000","-99.000","-99.000","-99.000","31.800","","25.200",""
"C0UA10","2020-05-05 00:00:00","1711.000","317.000","1.100","14.200","1.000","833.000","","0.000","-99.000","-99.000","-99.000","24.200","","13.100",""
"C0R660","2020-05-05 00:00:00","20.000","158.000","1.500","26.600","0.830","1009.500","","0.000","-99.000","-99.000","-99.000","29.800","","25.200",""
"C0M640","2020-05-05 00:00:00","155.000","0.000","0.000","24.700","0.940","993.500","","0.000","-99.000","-99.000","-99.000","31.700","","23.700",""
"C0S660","2020-05-05 00:00:00","794.000","214.000","1.800","19.700","0.900","926.400","","0.000","-99.000","-99.000","-99.000","29.200","","18.000",""
"C0G900","2020-05-05 00:00:00","20.000","203.000","1.000","26.600","0.870","1008.200","","0.000","-99.000","-99.000","-99.000","30.800","","25.400",""
"C0AD40","2020-05-05 00:00:00","32.000","185.000","0.500","26.800","0.850","1006.800","","0.000","-99.000","-99.000","-99.000","34.100","","24.100",""
"C0UA00","2020-05-05 00:00:00","392.000","182.000","0.600","21.600","0.970","968.400","","0.000","-99.000","-99.000","-99.000","34.100","","19.100",""
"C0I080","2020-05-05 00:00:00","536.000","0.000","0.000","22.600","0.850","954.500","","0.000","-99.000","-99.000","-99.000","33.500","","19.900",""
"C0UA30","2020-05-05 00:00:00","1397.000","222.000","1.100","19.000","0.990","861.200","","1.000","-99.000","-99.000","-99.000","25.200","","18.000",""
"C0Z270","2020-05-05 00:00:00","343.000","232.000","2.400","23.100","0.900","973.300","","0.000","-99.000","-99.000","-99.000","28.000","","21.800",""
"C0G750","2020-05-05 00:00:00","31.000","0.000","0.000","25.200","0.890","1008.500","","-99.000","-99.000","-99.000","-99.000","32.500","","24.100",""
"C0A550","2020-05-05 00:00:00","422.000","0.000","0.000","20.200","1.000","964.500","","0.000","-99.000","-99.000","-99.000","31.000","","18.800",""
"C0G830","2020-05-05 00:00:00","27.000","176.000","0.600","26.500","1.000","1007.200","","0.000","-99.000","-99.000","-99.000","32.600","","25.400",""
"C0E810","2020-05-05 00:00:00","53.000","202.000","0.900","24.000","0.940","1005.300","","0.000","-99.000","-99.000","-99.000","31.500","","23.800",""
"C0R640","2020-05-05 00:00:00","21.000","227.000","1.000","27.100","0.890","1008.700","","0.000","-99.000","-99.000","-99.000","29.500","","26.400",""
"C0D580","2020-05-05 00:00:00","120.000","0.000","0.000","24.000","0.970","997.300","","0.000","-99.000","-99.000","-99.000","32.300","","23.200",""
"C0M660","2020-05-05 00:00:00","40.000","178.000","0.700","25.600","0.910","1007.000","","0.000","-99.000","-99.000","-99.000","30.900","","24.700",""
"C0K330","2020-05-05 00:00:00","38.000","182.000","0.600","26.100","1.000","1006.400","","0.000","-99.000","-99.000","-99.000","32.800","","25.000",""
"C0E830","2020-05-05 00:00:00","37.000","196.000","2.100","26.000","0.810","1006.400","","0.000","-99.000","-99.000","-99.000","29.600","","25.100",""
"C0X290","2020-05-05 00:00:00","10.000","229.000","1.900","26.800","0.830","1009.800","","0.000","-99.000","-99.000","-99.000","29.900","","25.700",""
"C0U760","2020-05-05 00:00:00","22.000","0.000","0.000","22.000","0.990","1009.700","","0.000","-99.000","-99.000","-99.000","30.200","","22.000",""
"C0U780","2020-05-05 00:00:00","15.000","241.000","0.400","25.600","0.990","1009.500","","0.000","-99.000","-99.000","-99.000","29.100","","23.300",""
"C0H9C0","2020-05-05 00:00:00","3402.000","313.000","1.200","7.600","0.440","679.200","","0.000","-99.000","-99.000","-99.000","12.800","","5.600",""
"C0R830","2020-05-05 00:00:00","383.000","0.000","0.000","22.600","0.960","968.100","","0.000","-99.000","-99.000","-99.000","28.300","","21.800",""
